right_hip_pitch,right_hip_roll,right_hip_slide,right_ankle_roll,right_ankle_pitch,left_hip_pitch,left_hip_roll,left_hip_slide,left_ankle_roll,left_ankle_pitch,zmpx,zmpy
0.11231,-0.23447,-0.012031,0.23447,-0.11231,-0.014459,-0.23517,-0.00979,0.23517,0.014459,0,0
0.1123,-0.23482,-0.011949,0.23482,-0.1123,-0.014373,-0.23549,-0.009824,0.23549,0.014373,0,0
0.11228,-0.23517,-0.011864,0.23517,-0.11228,-0.014288,-0.23581,-0.009857,0.23581,0.014288,0,0
0.11226,-0.23553,-0.011775,0.23553,-0.11226,-0.014203,-0.23613,-0.00989,0.23613,0.014203,0,0
0.11224,-0.23588,-0.011683,0.23588,-0.11224,-0.014119,-0.23644,-0.009922,0.23644,0.014119,0,0
0.11221,-0.23623,-0.011586,0.23623,-0.11221,-0.014035,-0.23675,-0.009954,0.23675,0.014035,0,0
0.11219,-0.23658,-0.011486,0.23658,-0.11219,-0.013951,-0.23706,-0.009985,0.23706,0.013951,0,0
0.11215,-0.23693,-0.011382,0.23693,-0.11215,-0.013867,-0.23737,-0.010016,0.23737,0.013867,0,0
0.11211,-0.23728,-0.011275,0.23728,-0.11211,-0.013784,-0.23768,-0.010046,0.23768,0.013784,0,0
0.11207,-0.23763,-0.011163,0.23763,-0.11207,-0.013702,-0.23799,-0.010075,0.23799,0.013702,0,0
0.11203,-0.23797,-0.011048,0.23797,-0.11203,-0.013619,-0.23829,-0.010104,0.23829,0.013619,0,0
0.11198,-0.23832,-0.010929,0.23832,-0.11198,-0.013537,-0.23859,-0.010133,0.23859,0.013537,0,0
0.11193,-0.23866,-0.010806,0.23866,-0.11193,-0.013455,-0.23889,-0.01016,0.23889,0.013455,0,0
0.11187,-0.23901,-0.010679,0.23901,-0.11187,-0.013374,-0.23919,-0.010188,0.23919,0.013374,0,0
0.11181,-0.23935,-0.010549,0.23935,-0.11181,-0.013293,-0.23949,-0.010214,0.23949,0.013293,0,0
0.11175,-0.2397,-0.010415,0.2397,-0.11175,-0.013212,-0.23978,-0.01024,0.23978,0.013212,0,0
0.11168,-0.24004,-0.010278,0.24004,-0.11168,-0.013131,-0.24007,-0.010266,0.24007,0.013131,0,0
0.1116,-0.24038,-0.010136,0.24038,-0.1116,-0.013051,-0.24036,-0.010291,0.24036,0.013051,0,0
0.11153,-0.24072,-0.009991,0.24072,-0.11153,-0.012971,-0.24065,-0.010316,0.24065,0.012971,0,0
0.11145,-0.24106,-0.009843,0.24106,-0.11145,-0.012891,-0.24094,-0.01034,0.24094,0.012891,0,0
0.11136,-0.2414,-0.00969,0.2414,-0.11136,-0.012812,-0.24123,-0.010363,0.24123,0.012812,0,0
0.11127,-0.24174,-0.009535,0.24174,-0.11127,-0.012733,-0.24151,-0.010386,0.24151,0.012733,0,0
0.11118,-0.24208,-0.009375,0.24208,-0.11118,-0.012654,-0.24179,-0.010408,0.24179,0.012654,0,0
0.11108,-0.24242,-0.009212,0.24242,-0.11108,-0.012576,-0.24207,-0.01043,0.24207,0.012576,0,0
0.11098,-0.24276,-0.009046,0.24276,-0.11098,-0.012498,-0.24235,-0.010451,0.24235,0.012498,0,0
